date_iso,date,title,content,image,video
2020-06-04T17:10:00,"4 juin 2020 à 17:10","😀 Plus de 400 vues déjà pour le cover de #JeffBuckley.","😀 Plus de 400 vues déjà pour le cover de #JeffBuckley.\n💹 Meilleur départ du projet #entoijevoisdemain excepté le cover de #Queen !\nMerci, on continue surtout ! 👍👍👍\nhttps://zcu.io/k5KL","photos_and_videos/Photosdujournal_Eix909TVeA/102396787_297018011691405_1700723065425494016_o_297018008358072.jpg",""
2020-06-04T08:55:00,"4 juin 2020 à 08:55","On ne s'en lasse pas...","On ne s'en lasse pas...\n👉 Portez ce cover. #JeffBuckley\n👉 Portez ce projet. #entoijevoisdemain\n👉 Portez cet artiste #NicoSarro\nhttps://zcu.io/r1LS","photos_and_videos/Photosdujournal_Eix909TVeA/101795042_296690911724115_482353990168739840_o_296690901724116.jpg",""
2020-06-03T17:00:00,"3 juin 2020 à 17:00","🙏 5 000 visiteurs uniques pour les vidéos du projet #entoijevoisdemain ! 🤘","🙏 5 000 visiteurs uniques pour les vidéos du projet #entoijevoisdemain ! 🤘\nEn on va faire beaucoup plus dans les 6 derniers mois du projet, avec votre aide !\nSoyez notre bouche-à-oreilles et continuez de parler du projet autour de vous ;)\nMERCI ! 🙏","photos_and_videos/Photosdujournal_Eix909TVeA/83528413_296075011785705_9161858093607288832_o_296075005119039.jpg",""
2020-06-03T13:01:00,"3 juin 2020 à 13:01","#entoijevoisdemain, c'est Nico Sarro qui joue 🔴Live en solo, pour se raconter.","#entoijevoisdemain, c'est Nico Sarro qui joue 🔴Live en solo, pour se raconter.\nMais c'est aussi de magnifiques duos : 2 avec David ""Byssus"" Mignot (au piano) et 2 avec Jean-Michel Zanetti (à la guitares et aux claviers).\n🤘Comme celui-ci, épique ⤵ \nhttps://zcu.io/dQeY","photos_and_videos/Photosdujournal_Eix909TVeA/102717214_295924915134048_5764709932234440704_o_295924911800715.jpg",""
2020-06-02T08:59:00,"2 juin 2020 à 08:59","Discussion fleuve sur #JeffBuckley avec Nico Sarro dans le dernier numéro du 🎬Vlog #entoijevoisdemain !","Discussion fleuve sur #JeffBuckley avec Nico Sarro dans le dernier numéro du 🎬Vlog #entoijevoisdemain !\nIl y parle notamment des 2 concerts de Jeff qu'il a eu la chance de voir (et dont il a conservé les deux billets précieusement). ⤵ \nhttps://zcu.io/UUHq","photos_and_videos/Photosdujournal_Eix909TVeA/101663208_294967888563084_7840831775193432064_o_294967885229751.jpg",""
2020-06-01T18:35:00,"1 juin 2020 à 18:35","😍2e meilleur départ pour une vidéo derrière le cover de Queen - Who Wants To Live Forever ! Normal, c'est une perform...","😍2e meilleur départ pour une vidéo derrière le cover de Queen - Who Wants To Live Forever ! Normal, c'est une performance magique ;)\nMERCI ! 🙏\n\nhttps://zcu.io/xV8c","photos_and_videos/Photosdujournal_Eix909TVeA/101760757_294544388605434_8912061253778669568_o_294544385272101.jpg",""
2020-06-01T12:54:00,"1 juin 2020 à 12:54","✅ Une voix incroyable.","✅ Une voix incroyable.\n✅ Déjà + de 110 000 vues.\n▶ L'histoire d'un artiste maudit qui n'a pas eu sa chance !","photos_and_videos/thumbnails/81111635_229919338189600_1714726561480966144_n.jpg","photos_and_videos/videos/10000000_232222264709293_2195402627630953905_n_311307240050809.mp4"
2020-06-01T08:18:00,"1 juin 2020 à 08:18","","","",""
2020-05-31T18:00:00,"31 mai 2020 à 18:00","📣⏰ DERNIERES HEURES POUR VOTER !!! 📣⏰ ","📣⏰ DERNIERES HEURES POUR VOTER !!! 📣⏰ \nSoutenez le projet #entoijevoisdemain et votez pour les 4 cover bonus ⤵ \nhttps://zcu.io/BRar","photos_and_videos/Photosdujournal_Eix909TVeA/101081133_293742638685609_7936581808995434496_o_293742635352276.jpg",""
2020-05-31T12:00:00,"31 mai 2020 à 12:00","📣⏰ DERNIER JOUR POUR VOTER !!! 📣⏰ ","📣⏰ DERNIER JOUR POUR VOTER !!! 📣⏰ \nSoutenez le projet #entoijevoisdemain et votez pour les 4 cover bonus ⤵ \nhttps://zcu.io/BRar","photos_and_videos/Photosdujournal_Eix909TVeA/101401341_293532238706649_6806671734138208256_o_293532235373316.jpg",""
2020-05-31T09:41:00,"31 mai 2020 à 09:41","😵 Ils ne sont pas nombreux à pouvoir faire ce genre de performance !! Sublime, puissant, émouvant. En live et pendant...","😵 Ils ne sont pas nombreux à pouvoir faire ce genre de performance !! Sublime, puissant, émouvant. En live et pendant presque 8 minutes.  #entoijevoisdemainMis à jour : 31 mai 2020 à 09:41","",""
2020-05-30T16:13:00,"30 mai 2020 à 16:13","","","",""
2020-05-30T11:34:00,"30 mai 2020 à 11:34","Un hommage de ouf à Jeff Buckley !!! https://www.youtube.com/watch?v=A--L3NS0tpw","Un hommage de ouf à Jeff Buckley !!! https://www.youtube.com/watch?v=A--L3NS0tpw","",""
2020-05-30T10:08:00,"30 mai 2020 à 10:08","Un hommage de ouf à Jeff Buckley !!! #ScèneFrançaise https://www.youtube.com/watch?v=A--L3NS0tpw","Un hommage de ouf à Jeff Buckley !!! #ScèneFrançaise https://www.youtube.com/watch?v=A--L3NS0tpw","",""
2020-05-30T10:08:00,"30 mai 2020 à 10:08","Un hommage de ouf à Jeff Buckley !!!  https://www.youtube.com/watch?v=A--L3NS0tpw","Un hommage de ouf à Jeff Buckley !!!  https://www.youtube.com/watch?v=A--L3NS0tpw","",""
2020-05-30T10:00:00,"30 mai 2020 à 10:00","📣Cette semaine dans #entoijevoisdemain :","📣Cette semaine dans #entoijevoisdemain :\n✅ Incroyable prestation 🔴Live de Nico Sarro pour un cover hommage à #JeffBuckley, qui nous a quitté il y a 17 ans (!).\n✅ Et un 🎬Vlog spécial Jeff Buckley... de presque 1 heure !\nJeff, we miss you.\nhttps://zcu.io/1wbx","photos_and_videos/Photosdujournal_Eix909TVeA/101252335_292600242133182_218700177093951488_o_292600238799849.jpg",""
2020-05-29T19:24:00,"29 mai 2020 à 19:24","Numéro spécial du 🎬Vlog #entoijevoisdemain demain à 10h : ","Numéro spécial du 🎬Vlog #entoijevoisdemain demain à 10h : \nPrès d'une heure de conversation et d'hommage à #JeffBuckley et sa musique.\nJeff, we miss you.  ♥ 😭","photos_and_videos/thumbnails/101685730_841908849632420_9024907082779852800_n.jpg","photos_and_videos/videos/100392186_134181004954463_1789349005152110198_n_841908526299119.mp4"
2020-05-29T12:25:00,"29 mai 2020 à 12:25","","","",""
2020-05-29T08:58:00,"29 mai 2020 à 08:58","","","",""
2020-05-29T08:14:00,"29 mai 2020 à 08:14","Avant-première /// hommage #JeffBuckley 🙏😭","Avant-première /// hommage #JeffBuckley 🙏😭\nUne vidéo uniquement disponible pour toutes celles et ceux qui se partageront ce lien ⤵ \nhttps://youtu.be/A--L3NS0tpw","photos_and_videos/Photosdujournal_Eix909TVeA/101121225_291763382216868_1269076069038686208_o_291763378883535.jpg",""
2020-05-28T17:00:00,"28 mai 2020 à 17:00","Samedi dernier, c'était Björk et un cover electro de Nico Sarro (featuring JMZ).","Samedi dernier, c'était Björk et un cover electro de Nico Sarro (featuring JMZ).\nSamedi prochaine, ce sera Jeff Buckley.\nUne date spéciale. On compte sur votre présence et vos partages ! ; )","photos_and_videos/Photosdujournal_Eix909TVeA/101186559_291272022266004_3899765150114119680_o_291272018932671.jpg",""
2020-05-28T08:55:00,"28 mai 2020 à 08:55","...et une 13e vidéo qui a passé également les 1K vues !","...et une 13e vidéo qui a passé également les 1K vues !\nA réécouter ici ⤵ \nhttps://zcu.io/GeZc \n#DuranDuran #AViewToAKill #JamesBond #007","photos_and_videos/Photosdujournal_Eix909TVeA/101019892_290992925627247_8701574115011592192_o_290992922293914.jpg",""
2020-05-27T18:22:00,"27 mai 2020 à 18:22","📣⏰ Plus que 4 jours pour voter !","📣⏰ Plus que 4 jours pour voter !\nPour le moment, voici les cover sélectionnés par les Tipeuses et Tipeurs :\n1⃣ Black Hole Sun, 2⃣ Halleluyah, 3⃣ Creep et 4⃣ Blue Jeans !\nUne chanteuse, enfin ? A vous de décider en votant et rejoignant le projet ⤵ \nhttps://zcu.io/BMKk","photos_and_videos/Photosdujournal_Eix909TVeA/101052328_290560322337174_3571928101682151424_o_290560319003841.jpg",""
2020-05-27T08:55:00,"27 mai 2020 à 08:55","Et une 12e vidéo qui a dépassée les 1⃣ k vues sur la chaîne #entoijevoisdemain !","Et une 12e vidéo qui a dépassée les 1⃣ k vues sur la chaîne #entoijevoisdemain !\nMerci et pensez à aller nous soutenir sur la page Tipeee aussi ;)\nhttps://zcu.io/E6RO \n#StrangeLove #DepecheMode","photos_and_videos/Photosdujournal_Eix909TVeA/100738250_290251235701416_6511920893256531968_o_290251229034750.jpg",""
2020-05-26T17:00:00,"26 mai 2020 à 17:00","📣Ce soir, on enregistre l'interview pour le 🎬Vlog sur #JeffBuckley. Un moment spécial pour toute l'équipe.","📣Ce soir, on enregistre l'interview pour le 🎬Vlog sur #JeffBuckley. Un moment spécial pour toute l'équipe.\nOn propose donc à nos Tipeuses et Tipeurs de poser leurs questions avant ce soir 21h ici ⤵ (et une grosse surprise les attend !)\nhttps://zcu.io/Yg7S","photos_and_videos/Photosdujournal_Eix909TVeA/100090068_289725012420705_8445893109857910784_o_289725009087372.jpg",""
2020-05-26T11:58:00,"26 mai 2020 à 11:58","Björk, Nico Sarro, France 3 , JMZ et M6 dans la même histoire ?","Björk, Nico Sarro, France 3 , JMZ et M6 dans la même histoire ?\nMatez le vlog #27 de #entoijevoisdemain !! ⤵ \nhttps://zcu.io/Wit2","photos_and_videos/Photosdujournal_Eix909TVeA/100045816_289536872439519_8477388818004049920_o_289536869106186.jpg",""
2020-05-25T18:00:00,"25 mai 2020 à 18:00","C'est la fin du programme du mois de mai, avec l'hommage à Jeff Buckley de @[15641093035:274:SARRO]  pour #entoijevoi...","C'est la fin du programme du mois de mai, avec l'hommage à Jeff Buckley de @[15641093035:274:SARRO]  pour #entoijevoisdemain\nJeff nous a quitté à 30 ans mais il est resté avec nous sans interruption ces 27 dernières années... 🙏","photos_and_videos/Photosdujournal_Eix909TVeA/100500431_289007729159100_7965753626301825024_o_289007725825767.jpg",""
2020-05-25T08:45:00,"25 mai 2020 à 08:45","15 ans après leur cover sélectionné par @[6747251459:274:Björk] sur son album #ArmyOfMixes, @[15641093035:274:SARRO] ...","15 ans après leur cover sélectionné par @[6747251459:274:Björk] sur son album #ArmyOfMixes, @[15641093035:274:SARRO]   et Jean-Michel Zanetti récidivent ! ⤵ \nhttps://zcu.io/oXhA","photos_and_videos/Photosdujournal_Eix909TVeA/101014138_288700255856514_1496653831864320000_o_288700249189848.jpg",""
2020-05-24T22:07:00,"24 mai 2020 à 22:07","","","",""
2020-05-24T19:00:00,"24 mai 2020 à 19:00","L'histoire passionnante d'une sélection par @[6747251459:274:Björk]  d'un titre chanté par Nico Sarro 6 ans plus tôt ...","L'histoire passionnante d'une sélection par @[6747251459:274:Björk]  d'un titre chanté par Nico Sarro 6 ans plus tôt ! C'est le 🎬Vlog #27 de #entoijevoisdemain, à voir absolument ⤵ \nhttps://zcu.io/8f4d","photos_and_videos/Photosdujournal_Eix909TVeA/100722227_288249339234939_6905188074771185664_n_288249335901606.jpg",""
2020-05-24T11:58:00,"24 mai 2020 à 11:58","Déjà la moitié du chemin, plus d'1h30 de musique live (et le triple de vlog) qui nous ont procuré de magnifiques émot...","Déjà la moitié du chemin, plus d'1h30 de musique live (et le triple de vlog) qui nous ont procuré de magnifiques émotions.\nOn voulait profiter de ce jour spécial pour te remercier Nico, et te renvoyer toutes ces bonnes ondes par une vague de ♥♥♥ !\nJoyeux anniv !","photos_and_videos/Photosdujournal_Eix909TVeA/99427396_288005555925984_7056637894462537728_o_288005552592651.jpg",""
2020-05-23T18:00:00,"23 mai 2020 à 18:00","🙏Un très grand merci à Davy Jourget (photographe) et Benjamin Gonçalves-Martins (vidéaste) pour cette version de meil...","🙏Un très grand merci à Davy Jourget (photographe) et Benjamin Gonçalves-Martins (vidéaste) pour cette version de meilleure qualité du clip réalisé en 2005 pour le cover de Army Of Me du groupe Hemp avec Nico Sarro et Jean-Michel Zanetti.\nhttps://zcu.io/GrLQ","photos_and_videos/Photosdujournal_Eix909TVeA/99427590_287449439314929_1160830162896420864_o_287449432648263.jpg",""
2020-05-23T17:57:00,"23 mai 2020 à 17:57","Un duo français repéré par Bjork en personne ! JMZ et Nico Sarro en version lockdown à distance https://youtu.be/zxYr...","Un duo français repéré par Bjork en personne ! JMZ et Nico Sarro en version lockdown à distance https://youtu.be/zxYrwYSC5zU","",""
2020-05-23T14:41:00,"23 mai 2020 à 14:41","","","",""
